id_recensione,nome_vino,cantina,regione,denominazione,vitigno,annata,punteggio,fascia_punteggio,prezzo_usd,fascia_prezzo_usd,recensore,nota_degustazione,punti_per_dollaro
1,Bruno Giacosa 2007 Extra Brut Metodo Classico Pinot Nero (Vino Spumante),Bruno Giacosa,Altre zone d'Italia,Vino Spumante,Pinot Nero,2007,89,87-89 Molto buono,50.0,4. Da 40 a 74,Kerin O'Keefe,"Made entirely with Pinot Nero, this straw colored Metodo Classico opens with subdued aromas of nut and a whiff of bread crust. The palate is more expressive, offering white peach, citrus zest and pastry notes alongside a creamy mousse. An almond note closes th",1.78
2,Centovigne 2015 Miranda Erbaluce,Centovigne,Altre zone d'Italia,Non indicata,Erbaluce,2015,88,87-89 Molto buono,16.0,2. Da 15 a 24,Kerin O'Keefe,"Made with 100% native grape Erbaluce, this offers delicate aromas and flavors of ripe pear, green apple and citrus. A salty mineral note closes the crisp, clean finish.",5.5
3,Elena Walch 2012 Kermesse Cuvée Red,Elena Walch,Altre zone d'Italia,Non indicata,Red Blend,2012,91,90-94 Ottimo,68.0,4. Da 40 a 74,Kerin O'Keefe,"Made with equal parts Lagrein, Cabernet Sauvignon, Merlot, Petit Verdot and Syrah, this offers aromas of black currant, ground pepper and a whiff of graphite. The firm palate delivers ripe black plum, roasted coffee bean and allspice alongside chewy tannins. D",1.34
4,Frank Cornelissen 2012 Magma Rosso 10 Nerello Mascalese (Vino da Tavola),Frank Cornelissen,Altre zone d'Italia,Vino da Tavola,Nerello Mascalese,2012,93,90-94 Ottimo,225.0,5. 75 e oltre,Kerin O'Keefe,"Made from 100-year-old Nerello Mascalese vines, this bold wine is loaded with flavor and complexity. It's endowed with layers of smoky mineral sensations, underbrush, mature black and red berry fruit, leather, blue flower and Mediterranean spices alongside fre",0.41
5,Frank Cornelissen 2012 MunJebel Rosso 9 CS Nerello Mascalese (Vino da Tavola),Frank Cornelissen,Altre zone d'Italia,Vino da Tavola,Nerello Mascalese,2012,93,90-94 Ottimo,64.0,4. Da 40 a 74,Kerin O'Keefe,"Made from ungrafted Nerello Mascalese vines planted in 1930, this compelling wine offers intense blackberry, black cherry, tilled soil, blue flower and Mediterranean spice sensations. It's big and powerful, with gripping tannins and layers of depth. Give this ",1.45
6,Giribaldi 2012 Matteo Giribaldi Metodo Classico Sparkling (Vino Spumante),Giribaldi,Altre zone d'Italia,Vino Spumante,Sparkling Blend,2012,89,87-89 Molto buono,30.0,3. Da 25 a 39,Kerin O'Keefe,"Delicate scents of white flowers and white orchard fruit lead the nose while the refreshing palate offers yellow apple, lime and lemon pastry. It's crisp and clean, with lively acidity and small vivacious bubbles.",2.97
7,Morgante 2013 Bianco di Morgante Nero d'Avola (Vino da Tavola),Morgante,Altre zone d'Italia,Vino da Tavola,Nero d'Avola,2013,87,87-89 Molto buono,18.0,2. Da 15 a 24,Kerin O'Keefe,"Made from red grape Nero d'Avola vinified without skin contact, this full-bodied wine has sensations of red apples, pink grapefruit, mineral and white pepper. Crisp acidity gives freshness but the warmth of evident alcohol on the midpalate throws off the balan",4.83
8,Murgo 2012 Brut Rosé Metodo Classico Nerello Mascalese (Vino Spumante),Murgo,Altre zone d'Italia,Vino Spumante,Nerello Mascalese,2012,92,90-94 Ottimo,26.0,3. Da 25 a 39,Kerin O'Keefe,"Fresh and refined, this has aromas of small red berry, yellow wild flower, tangerine and baking spice. The creamy, quenching palate doles out strawberry, red cherry and orange zest framed in crisp acidity and a lively, elegant perlage.",3.54
9,Murgo 2012 Brut Metodo Classico Nerello Mascalese (Vino Spumante),Murgo,Altre zone d'Italia,Vino Spumante,Nerello Mascalese,2012,92,90-94 Ottimo,22.0,2. Da 15 a 24,Kerin O'Keefe,"Spanish broom, orchard fruit and pistachio nut are some of the aromas you'll find on this vibrant sparkler. The lively palate offers pear, apple and citrus alongside a silky perlage.",4.18
10,Peri Bigogno 2013 Talento Brut Chardonnay (Vino Spumante),Peri Bigogno,Altre zone d'Italia,Vino Spumante,Chardonnay,2013,88,87-89 Molto buono,31.0,3. Da 25 a 39,Kerin O'Keefe,"Made entirely with Chardonnay, this is lightly scented with whiffs of citrus and a yeasty hint of bread dough. The bright, soft palate offers yellow apple, lemon zest and bitter almond alongside firm acidity.",2.84
11,Rivetti Massimo 2010 Duemiladieci Bianco Metodo Classico Sparkling (Vino Spumante),Rivetti Massimo,Altre zone d'Italia,Vino Spumante,Sparkling Blend,2010,89,87-89 Molto buono,33.0,3. Da 25 a 39,Kerin O'Keefe,"A blend of 50% Nebbiolo, 30% Pinot Nero and 20% Chardonnay, this offers aromas of chamomile, lemon blossom, orchard fruit and lemon zest. The firm palate offers nectarine zest, ripe apple, toasted hazelnut and a note of bread crust alongside a vibrant perlage.",2.7
12,Tenuta Roletto 2009 Brut Rosé Metodo Classico Sparkling (Vino Spumante),Tenuta Roletto,Altre zone d'Italia,Vino Spumante,Sparkling Blend,2009,87,87-89 Molto buono,35.0,3. Da 25 a 39,Kerin O'Keefe,"An unusual blend of 60% Barbera, 15% Nebbiolo, 20% Neretto and 5% Freisa, this offers sensations of ripe red berry, baked apple, bread crust, toasted hazelnut and a confectionary note. Brisk acidity and persistent bubbles give it a fun, informal vibe.",2.49
13,Argillae 2015 Grechetto (Umbria),Argillae,Italia centrale,Umbria,Grechetto,2015,87,87-89 Molto buono,15.0,2. Da 15 a 24,Kerin O'Keefe,"This opens with subdued aromas of citrus blossom and yellow stone fruit while the weighty palate doles out unripe apricot, yellow peach and bitter almond. Showing the heat of the vintage, this shows less overt freshness than it does in cooler vintages. You'll ",5.8
14,Arnaldo Caprai 2008 Passito  (Montefalco Sagrantino),Arnaldo Caprai,Italia centrale,Montefalco Sagrantino,Sagrantino,2008,92,90-94 Ottimo,54.0,4. Da 40 a 74,Kerin O'Keefe,"This rich, full-bodied dessert wine offers aromas of spicy plum, blackberry, prune and graphite. The dense palate doles out layers of blueberry syrup, clove and nutmeg alongside fresh acidity that makes this very drinkable.",1.7
15,Arnaldo Caprai 2011 Grecante Grechetto (Colli Martani),Arnaldo Caprai,Italia centrale,Colli Martani,Grechetto,2011,88,87-89 Molto buono,20.0,2. Da 15 a 24,Non indicato,"What a wonderful wine to pair with spaghetti alle vongole or calamari fritti. Made from Grechetto grapes and aged only in stainless steel, this is fresh, youthful, tangy and crisp, with aromas of citrus, kiwi, honeydew and peach.",4.4
16,Barone Cornacchia 2014  Montepulciano d'Abruzzo,Barone Cornacchia,Italia centrale,Montepulciano d'Abruzzo,Montepulciano,2014,85,80-86 Buono,11.0,1. Sotto 15,Kerin O'Keefe,"Dark-skinned berry, moist earth and blue flower aromas lead the nose on this. The lean straightforward palate offers raw cherry and a hint of clove alongside bracing acidity and fleeting tannins.",7.73
17,Bocale 2011  Montefalco Rosso,Bocale,Italia centrale,Montefalco Rosso,Red Blend,2011,85,80-86 Buono,20.0,2. Da 15 a 24,Kerin O'Keefe,"Aromas of espresso, oak, vanilla, prune and mocha follow through to the warm palate along with dried black cherry, fig, roasted coffee bean, powdered sage and evident alcohol. It's already evolved, with fleeting but drying tannins.",4.25
18,Bocale 2013  Montefalco Rosso,Bocale,Italia centrale,Montefalco Rosso,Red Blend,2013,87,87-89 Molto buono,25.0,3. Da 25 a 39,Kerin O'Keefe,"Made with 70% Sangiovese, 15% Sagrantino, 10% Merlot and 5% Colorino, this has subdued aromas suggesting black-skinned fruit and a hint of cinnamon. The straightforward palate offers ripe black plum, clove and a touch of vanilla alongside smooth tannins. Enjoy",3.48
19,Bocale 2015 Trebbiano Spoletino (Umbria),Bocale,Italia centrale,Umbria,Trebbiano Spoletino,2015,88,87-89 Molto buono,20.0,2. Da 15 a 24,Kerin O'Keefe,"Made entirely with the native grape Trebbiano Spoletino, this opens with aromas of acacia flower, chamomile and a whiff of tropical fruit. The round medium-bodied palate offers ripe honeydew melon and nectarine zest alongside fresh acidity.",4.4
20,Brunori 2012 San Nicolò  (Verdicchio dei Castelli di Jesi Classico Superiore),Brunori,Italia centrale,Verdicchio dei Castelli di Jesi Classico Superiore,Verdicchio,2012,88,87-89 Molto buono,17.0,2. Da 15 a 24,Kerin O'Keefe,"This pretty wine offers a fragrance of hawthorne, Spanish broom and a touch of tropical fruit. The palate delivers apricot, peach and citrus flavors that are energized by steely mineral notes and bright acidity. It has a crisp, quenching finish.",5.18
21,Bucci 2007 Villa Bucci Riserva  (Verdicchio dei Castelli di Jesi Classico),Bucci,Italia centrale,Verdicchio dei Castelli di Jesi Classico,Verdicchio,2007,88,87-89 Molto buono,57.0,4. Da 40 a 74,Non indicato,"This is a rich and smooth white wine with aromas of mature peach, candied fruit, lime, crushed mineral and Asian spice. The wine shows impressive density and consistency that pairs with shellfish or spicy Thai curry.",1.54
22,Caldora Vini 2011  Montepulciano d'Abruzzo,Caldora Vini,Italia centrale,Montepulciano d'Abruzzo,Montepulciano,2011,87,87-89 Molto buono,11.0,1. Sotto 15,Non indicato,"Perfectly suited for home-cooked comfort meals like lasagna or meatloaf, this is rich, dense and soft, with endnotes of blackberry, cherry and tobacco.",7.91
23,Caldora Vini 2011 Pinot Grigio (Colline Pescaresi),Caldora Vini,Italia centrale,Colline Pescaresi,Pinot Grigio,2011,85,80-86 Buono,11.0,1. Sotto 15,Non indicato,"From the Adriatic side of the Italian peninsula comes this fresh Pinot Grigio that would wash down seafood, vegetables or light appetizers. The wine is crisp, clean and redolent of citrus and green apple.",7.73
24,Cantina Novelli 2007  Sagrantino di Montefalco,Cantina Novelli,Italia centrale,Sagrantino di Montefalco,Sagrantino,2007,88,87-89 Molto buono,40.0,4. Da 40 a 74,Kerin O'Keefe,"Here's a Sagrantino offering intense balsamic fragrances of menthol and mint that recall Clark's teaberry gum. The palate delivers ripe blackberry, white pepper and cinnamon, along with oak and espresso notes.",2.2
25,Cantina Novelli 2008  Montefalco Sagrantino,Cantina Novelli,Italia centrale,Montefalco Sagrantino,Sagrantino,2008,89,87-89 Molto buono,40.0,4. Da 40 a 74,Kerin O'Keefe,"Aromas suggest underbrush, oak, coconut, prune and dill. The concentrated palate offers steeped plum, dried blackberry, tobacco, cracked blackberry and licorice alongside firm, velvety tannins. It closes on a note of bitter prune.",2.22
26,Cantina Novelli 2009  Montefalco Rosso,Cantina Novelli,Italia centrale,Montefalco Rosso,Red Blend,2009,86,80-86 Buono,20.0,2. Da 15 a 24,Kerin O'Keefe,"A blend of Sangiovese, Sagrantino, Merlot and Cabernet, this offers aromas of cherry-berry and dessert spices that carry over to the palate, along with a licorice note. It's ripe and round but also a bit tired, with a drying, tannic finish.",4.3
27,Cantina Tollo 2009 Riserva Cagiòlo  (Montepulciano d'Abruzzo),Cantina Tollo,Italia centrale,Montepulciano d'Abruzzo,Montepulciano,2009,84,80-86 Buono,37.0,3. Da 25 a 39,Kerin O'Keefe,"This wine opens with aromas of overripe black fruit, coffee, oak and hints of balsamic herbs. The palate, however, is rather tired; most of the fruit has dried up, leaving oak, espresso and alcohol sensations that finish abruptly.",2.27
28,Cantina della Volta 2010 Metodo Classico Brut  (Lambrusco di Modena),Cantina della Volta,Italia centrale,Lambrusco di Modena,Lambrusco di Sorbara,2010,87,87-89 Molto buono,25.0,3. Da 25 a 39,Kerin O'Keefe,"Made with the Lambrusco di Sorbara grape, this conveys aromas of crushed violet, dried red berry and toasted hazelnut. The lively palate offers raspberry, nut and pink grapefruit alongside persistent bubbles and brisk acidity. Panebianco, Golden State Wine.",3.48
29,Cantina di Puianello 2012 Contrada Borgoleto  (Lambrusco Reggiano),Cantina di Puianello,Italia centrale,Lambrusco Reggiano,Lambrusco,2012,85,80-86 Buono,17.0,2. Da 15 a 24,Non indicato,"Thick purple foam tops this bubbly Lambrusco as it sits in the glass. In the mouth, the wine is semisecco, or slightly sweet, and it delivers plump aromas of black fruit and raspberry jam.",5.0
30,Cantine Novelli 2005 Rosso  (Montefalco),Cantine Novelli,Italia centrale,Montefalco,Red Blend,2005,84,80-86 Buono,28.0,3. Da 25 a 39,Non indicato,"Montefalco Rosso is the less austere cousin of Sagrantino di Montefalco and although this blend of Sangiovese, Sagrantino and Cabernet Sauvignon offers all kinds of spice, cherry notes and firm tannins, it is too masked by heavy oak tones. The wine exhibits ar",3.0
31,Cavicchioli 2016  Lambrusco Grasparossa di Castelvetro,Cavicchioli,Italia centrale,Lambrusco Grasparossa di Castelvetro,Lambrusco Grasparossa,2016,88,87-89 Molto buono,18.0,2. Da 15 a 24,Kerin O'Keefe,"Deeply colored and lightly effervescent, this offers black-skinned fruit and dark spice aromas. The refreshing palate doles out blackberry and cassis flavors, with a note of bitter almond.",4.89
32,Celli 2015 I Croppi Albana (Romagna),Celli,Italia centrale,Romagna,Albana,2015,89,87-89 Molto buono,15.0,2. Da 15 a 24,Kerin O'Keefe,"Combining ripe fruit and freshness, this sunny white delivers aromas of yellow flower and yellow stone fruit. Mirroring the aromas, the enveloping palate offers juicy apricot, candied ginger and citrus zest. Bright acidity lifts the rich flavors while a hint o",5.93
33,Cherri d'Acquaviva 2012 Pecorino (Falerio),Cherri d'Acquaviva,Italia centrale,Falerio,Pecorino,2012,87,87-89 Molto buono,15.0,2. Da 15 a 24,Kerin O'Keefe,"Notes of jasmine and acacia mingle with fleshy white peach, apple, citrus and ginger. The lithe palate comes with firm but balanced acidity, while a flinty minerality characterizes the finish.",5.8
34,Chiorri 2008 Rosato Rosé (Colli Perugini),Chiorri,Italia centrale,Colli Perugini,Rosé,2008,83,80-86 Buono,16.0,2. Da 15 a 24,Non indicato,"A neon pink color segues to an equally loud palate of cotton candy, cherry soda and bubblegum. The intensity is there and you might pair this wine with hearty fish soup to lose that synthetic edge.",5.19
35,ColleStefano 2015  Verdicchio di Matelica,ColleStefano,Italia centrale,Verdicchio di Matelica,Verdicchio,2015,91,90-94 Ottimo,15.0,2. Da 15 a 24,Kerin O'Keefe,"Made with organically farmed grapes, this delicious white opens with aromas of citrus blossom and white stone fruit. The tangy, medium-bodied palate offers a lovely depth of flavors that include juicy tangerine, lime, white peach, bitter almond and mineral. Cr",6.07
